    0.392733361929331559E+00    0.368503029655832677E+03   -0.269294271617795999E+02
    0.337275683879852295E+00    0.347931592464447021E+03   -0.257509841831168274E+02
    0.158763229846954346E+00    0.121433292627334595E+03   -0.254863815756915422E+02
    0.190088152885437012E+00    0.184292061924934387E+03   -0.254732072055153935E+02
    0.198386788368225098E+00    0.229818241596221924E+03   -0.245660664399773054E+02
    0.140879571437835693E+00    0.105662049651145935E+03   -0.245168096738185710E+02
    0.174516260623931885E+00    0.168691341876983643E+03   -0.244142114604825018E+02
    0.321327746444441953E+00    0.353367191118499136E+03   -0.243662745364143234E+02
    0.687951445579528809E-01    0.306044447422027588E+02   -0.243126954248843070E+02
    0.236517790715990828E+00    0.287141145259181144E+03   -0.242908589357792124E+02
    0.161276752454910716E+00    0.146589167460042489E+03   -0.240556119212787749E+02
    0.256940782070159912E+00    0.310205887556076050E+03   -0.240052359881472697E+02
    0.142107495054892841E+00    0.113676858091964746E+03   -0.240025957030614840E+02
    0.333340883255004883E+00    0.367334176898002625E+03   -0.238821743226575265E+02
    0.271791696548461914E+00    0.324918152689933777E+03   -0.238277953587981060E+02
    0.255384981632232666E+00    0.313310431241989136E+03   -0.236891933300911788E+02
    0.230926990509033203E+00    0.290454642772674561E+03   -0.236787086579309438E+02
    0.270062923431396484E+00    0.326006587147712708E+03   -0.236519771341184928E+02
    0.280493298358741316E+00    0.337684962976266775E+03   -0.234038233220699965E+02
    0.317976512997223848E+00    0.365459977882880423E+03   -0.233136892397296833E+02
    0.166397329465845761E+00    0.177308961678292746E+03   -0.232838392629119362E+02
    0.158095435413294516E+00    0.155888207488840351E+03   -0.232814772999199491E+02
    0.181697249412536621E+00    0.225505601167678833E+03   -0.232634234333769179E+02
    0.218991100788116455E+00    0.284819479584693909E+03   -0.232354205951939861E+02
    0.218228995800018311E+00    0.284119071364402771E+03   -0.232260846139992623E+02
    0.214706242084503174E+00    0.280183400511741638E+03   -0.232179369395945656E+02
    0.125402331352233887E+00    0.990452218055725098E+02   -0.231681590962906263E+02
    0.261910259723663330E+00    0.327487324476242065E+03   -0.231109644175051976E+02
    0.312845230102539062E+00    0.365158997774124146E+03   -0.231081215816039673E+02
    0.160090327262878418E+00    0.167599986791610718E+03   -0.230227116913609322E+02
    0.154673635959625244E+00    0.154747473001480103E+03   -0.230002085494021173E+02
    0.186385299911653840E+00    0.243110305859243908E+03   -0.230000453153935567E+02
    0.159152746200561523E+00    0.166560890078544617E+03   -0.229726305976762220E+02
    0.163155470365870553E+00    0.178678890338501731E+03   -0.229479606559930644E+02
    0.222016251771634171E+00    0.293676696233517760E+03   -0.229184552778922672E+02
    0.617912729141981004E-01    0.306040322275407135E+02   -0.228485229002645163E+02
    0.190267370496804755E+00    0.255089076200757177E+03   -0.227925608815320579E+02
    0.182134687900543213E+00    0.240182526707649231E+03   -0.227921573917961027E+02
    0.291972041130065918E+00    0.356371788978576660E+03   -0.227497071548246197E+02
    0.114212810993194580E+00    0.885405170917510986E+02   -0.227165516140136212E+02
    0.177908617959555260E+00    0.233227596351547191E+03   -0.227139138858999274E+02
